Time [s],Packet ID,MOSI,MISO
7.073655400000000,0,0xB0,0x00
7.076250000000000,,0x40,0x00
7.079227200000000,,0x21,0x00
7.082204400000000,,0x06,0x00
7.085181600000000,,0x15,0x00
7.088158800000000,,0x0B,0x00
7.091136000000000,,0x37,0x00
7.094113200000000,,0x82,0x00
7.097090400000000,,0x45,0x00
7.133260800000000,,0xB0,0x00
7.135792800000000,,0x40,0x00
7.138769800000000,,0x21,0x00
7.141747000000000,,0x8E,0x00
7.144724000000000,,0x15,0x00
7.147701200000000,,0x0B,0x00
7.150678400000000,,0x37,0x00
7.153655800000000,,0x82,0x00
7.156633000000000,,0xCD,0x00
7.192850600000000,,0xB0,0x00
7.195336200000000,,0x40,0x00
7.198313600000000,,0x21,0x00
7.201290800000000,,0x06,0x00
7.204268000000000,,0x15,0x00
7.207245400000000,,0x0B,0x00
7.210222800000000,,0x37,0x00
7.213200200000000,,0x82,0x00
7.216177400000000,,0x45,0x00
7.252456800000000,,0xB0,0x00
7.254881200000000,,0x40,0xFF
7.257858600000000,,0x21,0x00
7.260835800000000,,0x8E,0x00
7.263813000000000,,0x15,0x00
7.266790200000000,,0x0B,0x00
7.269767600000000,,0x37,0x00
7.272745000000000,,0x82,0x00
7.275722200000000,,0xCD,0x00
7.312063600000000,,0xB0,0x00
7.314427000000000,,0x40,0x00
7.317404400000000,,0x21,0x00
7.320381400000000,,0x06,0x00
7.323358800000000,,0x15,0x00
7.326336000000000,,0x0B,0x00
7.329313200000000,,0x37,0x00
7.332290400000000,,0x82,0x00
7.335267800000000,,0x45,0x00
7.371371200000000,,0xB0,0x0B
7.373971000000000,,0x40,0x0D
7.376948200000000,,0x21,0x00
7.379925200000000,,0x8E,0x00
7.382902600000000,,0x15,0x47
7.385879600000000,,0x0B,0x66
7.388857000000000,,0x37,0x00
7.391834200000000,,0x82,0x00
7.394811600000000,,0xCD,0x1A
7.431201000000000,,0xB0,0x0B
7.433516600000000,,0x40,0x0D
7.436493600000000,,0x21,0x00
7.439470600000000,,0x06,0x00
7.442447800000000,,0x15,0x47
7.445425000000000,,0x0B,0x66
7.448402000000000,,0x37,0x00
7.451379200000000,,0x82,0x00
7.454356400000000,,0x45,0x1A
7.490803800000000,,0xB0,0x0B
7.493060000000000,,0x40,0x0D
7.496037200000000,,0x21,0x00
7.499014400000000,,0x8E,0x00
7.501991800000000,,0x15,0x47
7.504969000000000,,0x0B,0x66
7.507946400000000,,0x37,0x00
7.510923800000000,,0x82,0x00
7.513901000000000,,0xCD,0x1A
7.550023800000000,,0xB0,0x0B
7.552606400000000,,0x40,0x0D
7.555583600000000,,0x21,0x00
7.558561000000000,,0x06,0x00
7.561538400000000,,0x15,0x47
7.564515800000000,,0x0B,0x66
7.567493200000000,,0x37,0x00
7.570470400000000,,0x82,0x00
7.573447800000000,,0x45,0x1A
7.609766200000000,,0xB0,0x0B
7.612152400000000,,0x40,0x0D
7.615129800000000,,0x21,0x00
7.618107000000000,,0x8E,0x00
7.621084200000000,,0x15,0x47
7.624061400000000,,0x0B,0x66
7.627038800000000,,0x37,0x00
7.630016000000000,,0x82,0x00
7.632993200000000,,0xCD,0x1A
