Time [s],Packet ID,MOSI,MISO
5.514451000000000,,0xB0,0x00
5.517025600000000,,0x80,0x00
5.520002800000000,,0x30,0x00
5.522979800000000,,0x06,0x00
5.525957000000000,,0x15,0x00
5.528934000000000,,0x0E,0x00
5.531911200000000,,0x0B,0x00
5.534888200000000,,0x82,0x00
5.537865400000000,,0x6B,0x00
5.574053000000000,,0xB0,0x00
5.576569000000000,,0x80,0x00
5.579546400000000,,0x30,0x00
5.582523600000000,,0x8E,0x00
5.585500800000000,,0x15,0x00
5.588478000000000,,0x0E,0x00
5.591455400000000,,0x0B,0x00
5.594432800000000,,0x82,0x00
5.597410000000000,,0xF3,0x00
5.633645400000000,,0xB0,0x00
5.636114200000000,,0x80,0x00
5.639091200000000,,0x30,0x00
5.642068400000000,,0x06,0x00
5.645045400000000,,0x15,0x00
5.648022400000000,,0x0E,0x00
5.650999800000000,,0x0B,0x00
5.653976800000000,,0x82,0x00
5.656954000000000,,0x6B,0x00
5.693250600000000,,0xB0,0x00
5.695656600000000,,0x80,0x00
5.698633800000000,,0x30,0x00
5.701611200000000,,0x8E,0x00
5.704588200000000,,0x15,0x00
5.707565400000000,,0x0E,0x00
5.710542600000000,,0x0B,0xFF
5.713519600000000,,0x82,0x00
5.716496800000000,,0xF3,0x00
5.752573600000000,,0xB0,0x00
5.755199000000000,,0x80,0x00
5.758176200000000,,0x30,0x00
5.761153600000000,,0x06,0x00
5.764130800000000,,0x15,0x00
5.767108200000000,,0x0E,0x00
5.770085400000000,,0x0B,0x00
5.773062600000000,,0x82,0x00
5.776039800000000,,0x6B,0x00
5.812163600000000,,0xB0,0x0B
5.814742600000000,,0x80,0x0D
5.817719800000000,,0x30,0x00
5.820696800000000,,0x8E,0x00
5.823674200000000,,0x15,0x47
5.826651400000000,,0x0E,0x66
5.829628600000000,,0x0B,0x00
5.832605800000000,,0x82,0x00
5.835583000000000,,0xF3,0x1A
5.871703600000000,,0xB0,0x0B
5.874285000000000,,0x80,0x0D
5.877262200000000,,0x30,0x00
5.880239400000000,,0x06,0x00
5.883216400000000,,0x15,0x47
5.886193600000000,,0x0E,0x66
5.889170800000000,,0x0B,0x00
5.892148000000000,,0x82,0x00
5.895125200000000,,0x6B,0x1A
5.931310400000000,,0xB0,0x0B
5.933829000000000,,0x80,0x0D
5.936805800000000,,0x30,0x00
5.939783000000000,,0x8E,0x00
5.942760200000000,,0x15,0x47
5.945737200000000,,0x0E,0x66
5.948714400000000,,0x0B,0x00
5.951691400000000,,0x82,0x00
5.954668600000000,,0xF3,0x1A
5.991051400000000,,0xB0,0x0B
5.993370800000000,,0x80,0x0D
5.996348000000000,,0x30,0x00
5.999325200000000,,0x06,0x00
6.002302400000000,,0x15,0x47
6.005279400000000,,0x0E,0x66
6.008256600000000,,0x0B,0x00
6.011233800000000,,0x82,0x00
6.014210800000000,,0x6B,0x1A
6.050787200000000,,0xB0,0x0B
6.052914000000000,,0x80,0x0D
6.055891200000000,,0x30,0x00
6.058868400000000,,0x8E,0x00
6.061845600000000,,0x15,0x47
6.064822600000000,,0x0E,0x66
6.067799600000000,,0x0B,0x00
6.070776600000000,,0x82,0x00
6.073753800000000,,0xF3,0x1A
6.109975400000000,,0xB0,0x0B
6.112455600000000,,0x80,0x0D
6.115432800000000,,0x30,0x00
6.118409800000000,,0x06,0x00
6.121387000000000,,0x15,0x47
6.124364200000000,,0x0E,0x66
6.127341400000000,,0x0B,0x00
6.130318200000000,,0x82,0x00
6.133295400000000,,0x6B,0x1A
6.169693800000000,,0xB0,0x0B
6.171997800000000,,0x80,0x0D
6.174974800000000,,0x30,0x00
6.177951800000000,,0x8E,0x00
6.180928600000000,,0x15,0x47
6.183905600000000,,0x0E,0x66
6.186882600000000,,0x0C,0x00
6.189859600000000,,0x82,0x00
6.192836600000000,,0xF4,0x1A
6.229413200000000,,0xB0,0x0B
6.231540000000000,,0x80,0x0D
6.234517000000000,,0x30,0x00
6.237494000000000,,0x06,0x00
6.240471000000000,,0x15,0x47
6.243448000000000,,0x0E,0x66
6.246425000000000,,0x0C,0x00
6.249402000000000,,0x82,0x00
6.252379000000000,,0x6C,0x1A
6.288610200000000,,0xB0,0x0B
6.291079400000000,,0x80,0x0D
6.294056200000000,,0x30,0x00
6.297033400000000,,0x8E,0x00
6.300010400000000,,0x15,0x47
6.302987400000000,,0x0E,0x66
6.305964400000000,,0x0C,0x00
6.308941600000000,,0x82,0x00
6.311918800000000,,0xF4,0x1A
6.348345200000000,,0xB0,0x0B
6.350621200000000,,0x80,0x0D
6.353598400000000,,0x30,0x00
6.356575600000000,,0x06,0x00
6.359552600000000,,0x15,0x47
6.362529800000000,,0x0E,0x66
6.365506800000000,,0x0C,0x00
6.368484200000000,,0x82,0x00
6.371461200000000,,0x6C,0x1A
6.407535400000000,,0xB0,0x0B
6.410163800000000,,0x80,0x0D
6.413141000000000,,0x30,0x00
6.416118400000000,,0x8E,0x00
6.419095600000000,,0x15,0x47
6.422072600000000,,0x0E,0x66
6.425049800000000,,0x0C,0x00
6.428027000000000,,0x82,0x00
6.431004200000000,,0xF4,0x1A
6.467279400000000,,0xB0,0x0B
6.469707400000000,,0x80,0x0D
6.472684600000000,,0x30,0x00
6.475661800000000,,0x06,0x00
6.478638800000000,,0x15,0x47
6.481616000000000,,0x0E,0x66
6.484593200000000,,0x0C,0x00
6.487570600000000,,0x82,0x00
6.490547800000000,,0x6C,0x1A
6.527003600000000,,0xB0,0x0B
6.529252000000000,,0x80,0x0D
6.532229000000000,,0x30,0x00
6.535206000000000,,0x8E,0x00
6.538183200000000,,0x15,0x47
6.541160200000000,,0x0E,0x66
6.544137400000000,,0x0C,0x00
6.547114600000000,,0x82,0x00
6.550091800000000,,0xF4,0x1A
6.586211600000000,,0xB0,0x0B
6.588794000000000,,0x80,0x0D
6.591771000000000,,0x30,0x00
6.594748000000000,,0x06,0x00
6.597725000000000,,0x15,0x47
6.600702200000000,,0x0E,0x66
6.603679400000000,,0x0C,0x00
6.606656400000000,,0x82,0x00
6.609633600000000,,0x6C,0x1A
6.645945600000000,,0xB0,0x0B
6.648336000000000,,0x80,0x21
6.651313200000000,,0x30,0x01
6.654290400000000,,0x8E,0x14
6.657267600000000,,0x15,0x47
6.660244600000000,,0x0E,0x66
6.663222000000000,,0x0C,0x05
6.666199000000000,,0x82,0x00
