Time [s],Packet ID,MOSI,MISO
7.690547000000000,0,0xB0,0x00
7.693130000000000,,0x02,0x00
7.696107000000000,,0x20,0x00
7.699084000000000,,0x06,0x00
7.702061000000000,,0x16,0x00
7.705038000000000,,0x1B,0x00
7.708015000000000,,0x19,0x00
7.710992000000000,,0x81,0x00
7.713969000000000,,0xF8,0x00
7.750144000000000,,0xB0,0x00
7.752670000000000,,0x02,0x00
7.755647000000000,,0x20,0x00
7.758624000000000,,0x8E,0x00
7.761601000000000,,0x16,0x00
7.764578000000000,,0x1B,0x00
7.767554000000000,,0x19,0x00
7.770531000000000,,0x81,0x00
7.773508000000000,,0x80,0x00
7.809726000000000,,0xB0,0x00
7.812210000000000,,0x02,0x00
7.815187000000000,,0x20,0x00
7.818164000000000,,0x06,0x00
7.821141000000000,,0x16,0x00
7.824118000000000,,0x1B,0x00
7.827095000000000,,0x19,0x00
7.830072000000000,,0x81,0x00
7.833049000000000,,0xF8,0x00
7.869323000000000,,0xB0,0x00
7.871750000000000,,0x02,0x00
7.874727000000000,,0x20,0x00
7.877704000000000,,0x8E,0x00
7.880681000000000,,0x16,0x00
7.883658000000000,,0x1B,0x0F
7.886635000000000,,0x19,0xFB
7.889612000000000,,0x81,0x19
7.892589000000000,,0x80,0x81
7.928922000000000,,0xB0,0x80
7.931290000000000,,0x02,0x00
7.934267000000000,,0x20,0x00
7.937244000000000,,0x06,0x00
7.940221000000000,,0x16,0x00
7.943198000000000,,0x1B,0x00
7.946174000000000,,0x19,0x00
7.949151000000000,,0x81,0x00
7.952128000000000,,0xF8,0x00
7.988223000000000,,0xB0,0x0B
7.990830000000000,,0x02,0x00
7.993808000000000,,0x20,0x00
7.996785000000000,,0x8E,0x00
7.999762000000000,,0x16,0x4F
8.002739000000000,,0x1B,0x00
8.005716000000000,,0x19,0x00
8.008692999999999,,0x81,0x00
8.011671000000000,,0x80,0xAF
8.049492000000001,,0xB0,0x0B
8.052357000000001,,0x02,0x00
8.055334000000000,,0x20,0x00
8.058311000000000,,0x06,0x00
8.061287999999999,,0x16,0x4F
8.064265000000001,,0x1B,0x02
8.067242000000000,,0x19,0x00
8.070219000000000,,0x81,0x00
8.073195999999999,,0xF8,0xB1
8.107272000000000,,0xB0,0x0B
8.109911000000000,,0x02,0x00
8.112888000000000,,0x20,0x00
8.115864999999999,,0x8E,0x00
8.118841000000000,,0x16,0x4F
8.121817999999999,,0x1B,0x02
8.124795000000001,,0x19,0x00
8.127772000000000,,0x81,0x00
8.130749000000000,,0x80,0xB1
8.167249999999999,,0xB0,0x0B
8.169449999999999,,0x02,0x00
8.172427000000001,,0x20,0x00
8.175404000000000,,0x06,0x00
8.178381000000000,,0x16,0x4F
8.181357999999999,,0x1B,0x02
8.184335000000001,,0x19,0x00
8.187312000000000,,0x81,0x00
8.190289000000000,,0xF8,0xB1
8.226661999999999,,0xB0,0x0B
8.228990000000000,,0x02,0x00
8.231966999999999,,0x20,0x00
8.234944000000000,,0x8E,0x00
8.237921000000000,,0x16,0x4F
8.240898000000000,,0x1B,0x02
8.243874999999999,,0x19,0x00
8.246852000000001,,0x81,0x00
8.249829000000000,,0x80,0xB1
8.286060000000001,,0xB0,0x0B
8.288529000000000,,0x02,0x00
8.291506000000000,,0x20,0x00
8.294484000000001,,0x06,0x00
8.297461000000000,,0x16,0x4F
8.300438000000000,,0x1B,0x02
