Time [s],Packet ID,MOSI,MISO
0.032803600000000,0,0xB0,0x0B
0.035339200000000,,0x00,0x00
0.038312600000000,,0x20,0x02
0.041286200000000,,0x8E,0x00
0.044259800000000,,0x01,0x07
0.047233400000000,,0x11,0x20
0.050207200000000,,0x1F,0x04
0.053181000000000,,0x80,0x00
0.056154800000000,,0x64,0x8D
0.092516200000000,,0xB0,0x0B
0.094813600000000,,0x00,0x00
0.097787200000000,,0x20,0x02
0.100760800000000,,0x06,0x00
0.103734400000000,,0x01,0x07
0.106708200000000,,0x11,0x20
0.109681600000000,,0x1F,0x04
0.112655400000000,,0x80,0x00
0.115629200000000,,0xDC,0x8D
0.151721600000000,,0xB0,0x0B
0.154287000000000,,0x00,0x00
0.157260800000000,,0x20,0x02
0.160234600000000,,0x8E,0x00
0.163208200000000,,0x01,0x07
0.166181800000000,,0x11,0x20
0.169155400000000,,0x1F,0x04
0.172129000000000,,0x80,0x00
0.175102600000000,,0x64,0x8D
0.211155600000000,,0xB0,0x0B
0.213760000000000,,0x00,0x00
0.216733600000000,,0x20,0x02
0.219707400000000,,0x06,0x00
0.222681200000000,,0x01,0x07
0.225654800000000,,0x11,0x20
0.228628600000000,,0x20,0x04
0.231602200000000,,0x80,0x00
0.234576000000000,,0xDD,0x8D
0.270868400000000,,0xB0,0x0B
0.273233400000000,,0x00,0x00
0.276207200000000,,0x20,0x02
0.279181000000000,,0x8E,0x00
0.282154800000000,,0x01,0x07
0.285128600000000,,0x11,0x20
0.288102400000000,,0x20,0x04
0.291076400000000,,0x80,0x00
0.294050000000000,,0x65,0x8D
0.330072400000000,,0xB0,0x0B
0.332707600000000,,0x00,0x00
0.335681400000000,,0x20,0x02
0.338655000000000,,0x06,0x00
0.341628600000000,,0x01,0x07
0.344602200000000,,0x11,0x20
0.347575600000000,,0x20,0x04
0.350549400000000,,0x80,0x00
0.353523000000000,,0xDD,0x8D
0.389781000000000,,0xB0,0x0B
0.392180000000000,,0x00,0x00
0.395153800000000,,0x20,0x02
0.398127400000000,,0x8E,0x00
0.401101000000000,,0x01,0x07
0.404074600000000,,0x11,0x20
0.407048000000000,,0x20,0x04
0.410021800000000,,0x80,0x00
0.412995400000000,,0x65,0x8D
0.449475800000000,,0xB0,0x0B
0.451654200000000,,0x00,0x00
0.454628000000000,,0x20,0x02
0.457601600000000,,0x06,0x00
0.460575400000000,,0x01,0x07
0.463549200000000,,0x11,0x20
0.466522800000000,,0x20,0x04
0.469496600000000,,0x80,0x00
0.472470200000000,,0xDD,0x8D
0.508699000000000,,0xB0,0x0B
0.511127000000000,,0x00,0x00
0.514100600000000,,0x20,0x02
0.517074400000000,,0x8E,0x00
0.520048000000000,,0x01,0x07
0.523021600000000,,0x11,0x20
0.525995200000000,,0x20,0x04
0.528968800000000,,0x80,0x00
0.531942200000000,,0x65,0x8D
0.568408200000000,,0xB0,0x0B
0.570599400000000,,0x00,0x00
0.573573200000000,,0x20,0x02
0.576546800000000,,0x06,0x00
0.579520600000000,,0x01,0x07
0.582494200000000,,0x11,0x20
