Time [s],Packet ID,MOSI,MISO
0.009784800000000,0,0xB0,0x0B
0.012335000000000,,0x00,0x07
0.015308800000000,,0x20,0x00
0.018282600000000,,0x06,0x28
0.021256400000000,,0x0E,0x0F
0.024230400000000,,0x30,0x20
0.027204200000000,,0x12,0x04
0.030178200000000,,0x80,0x00
0.033152200000000,,0xFB,0xC2
0.069214000000000,,0xB0,0x0B
0.071812600000000,,0x00,0x07
0.074786600000000,,0x20,0x00
0.077760600000000,,0x8E,0x28
0.080734600000000,,0x0E,0x0F
0.083708800000000,,0x30,0x20
0.086682800000000,,0x12,0x04
0.089656600000000,,0x80,0x00
0.092630800000000,,0x83,0xC2
0.128663400000000,,0xB0,0x0B
0.131292400000000,,0x00,0x07
0.134266400000000,,0x20,0x00
0.137240400000000,,0x06,0x28
0.140214400000000,,0x0E,0x0F
0.143188200000000,,0x30,0x20
0.146162200000000,,0x12,0x04
0.149136200000000,,0x80,0x00
0.152110200000000,,0xFB,0xC2
0.188682000000000,,0xB0,0x0B
0.190769400000000,,0x00,0x07
0.193743400000000,,0x20,0x00
0.196717200000000,,0x8E,0x28
0.199691000000000,,0x0E,0x0F
0.202665000000000,,0x30,0x20
0.205638800000000,,0x12,0x04
0.208612800000000,,0x80,0x00
0.211586800000000,,0x83,0xC2
0.248092400000000,,0xB0,0x0B
0.250248000000000,,0x00,0x07
0.253222000000000,,0x20,0x00
0.256195800000000,,0x06,0x28
0.259169800000000,,0x0E,0x0F
0.262143800000000,,0x30,0x20
0.265117600000000,,0x12,0x04
0.268091600000000,,0x80,0x00
0.271065400000000,,0xFB,0xC2
0.307581800000000,,0xB0,0x0B
0.309726000000000,,0x00,0x07
0.312699800000000,,0x20,0x00
0.315673800000000,,0x8E,0x28
0.318647600000000,,0x0E,0x0F
0.321621600000000,,0x30,0x20
0.324595400000000,,0x12,0x04
0.327569200000000,,0x80,0x00
0.330543200000000,,0x83,0xC2
0.367054200000000,,0xB0,0x0B
0.369204400000000,,0x00,0x07
0.372178200000000,,0x20,0x00
0.375152000000000,,0x06,0x28
0.378126200000000,,0x0E,0x0F
0.381100000000000,,0x30,0x20
0.384074000000000,,0x12,0x04
0.387048000000000,,0x80,0x00
0.390022000000000,,0xFB,0xC2
0.426546800000000,,0xB0,0x0B
0.428683400000000,,0x00,0x07
0.431657400000000,,0x20,0x00
0.434631200000000,,0x8E,0x28
0.437605200000000,,0x0E,0x0F
0.440579200000000,,0x30,0x20
0.443553000000000,,0x12,0x04
0.446527000000000,,0x80,0x00
0.449500800000000,,0x83,0xC2
0.486040000000000,,0xB0,0x0B
0.488160800000000,,0x00,0x07
0.491134800000000,,0x20,0x00
0.494108600000000,,0x06,0x28
0.497082600000000,,0x0E,0x0F
0.500056600000000,,0x30,0x20
0.503030400000000,,0x12,0x04
0.506004400000000,,0x80,0x00
0.508978400000000,,0xFB,0xC2
0.545516000000000,,0xB0,0x0B
0.547640800000000,,0x00,0x07
0.550614800000000,,0x20,0x00
0.553588600000000,,0x8E,0x28
0.556562400000000,,0x0E,0x0F
0.559536400000000,,0x30,0x20
0.562510400000000,,0x12,0x04
0.565484400000000,,0x80,0x00
0.568458400000000,,0x83,0xC2
0.605010000000000,,0xB0,0x0B
