Time [s],Packet ID,MOSI,MISO
0.056706200000000,0,0xB0,0x0B
0.059084800000000,,0x00,0x01
0.062061000000000,,0x20,0x06
0.065037200000000,,0x06,0x00
0.068013400000000,,0x00,0x0F
0.070989600000000,,0x10,0x22
0.073966000000000,,0x03,0x04
0.076942200000000,,0x80,0x00
0.079918400000000,,0xBE,0x9C
0.116059200000000,,0xB0,0x0B
0.118610200000000,,0x00,0x01
0.121586600000000,,0x20,0x06
0.124563200000000,,0x8E,0x00
0.127539400000000,,0x00,0x0F
0.130515600000000,,0x10,0x22
0.133492000000000,,0x03,0x04
0.136468400000000,,0x80,0x00
0.139444800000000,,0x46,0x9C
0.175979800000000,,0xB0,0x0B
0.178135600000000,,0x00,0x01
0.181112000000000,,0x20,0x06
0.184088200000000,,0x06,0x00
0.187064600000000,,0x00,0x0F
0.190040800000000,,0x10,0x22
0.193017000000000,,0x03,0x04
0.195993400000000,,0x80,0x00
0.198969800000000,,0xBE,0x9C
0.235332800000000,,0xB0,0x0B
0.237663200000000,,0x00,0x01
0.240639800000000,,0x20,0x06
0.243616000000000,,0x8E,0x00
0.246592400000000,,0x00,0x0F
0.249568800000000,,0x10,0x22
0.252545200000000,,0x03,0x04
0.255521600000000,,0x80,0x00
0.258498000000000,,0x46,0x9C
0.294705000000000,,0xB0,0x0B
0.297191600000000,,0x00,0x01
0.300167800000000,,0x20,0x06
0.303144400000000,,0x06,0x00
0.306120800000000,,0x00,0x0F
0.309097200000000,,0x10,0x22
0.312073400000000,,0x03,0x04
0.315049800000000,,0x80,0x00
0.318026200000000,,0xBE,0x9C
0.354623800000000,,0xB0,0x0B
0.356720800000000,,0x00,0x01
0.359697000000000,,0x20,0x06
0.362673200000000,,0x8E,0x00
0.365649400000000,,0x00,0x0F
0.368625800000000,,0x10,0x22
0.371602000000000,,0x03,0x04
0.374578600000000,,0x80,0x00
0.377555000000000,,0x46,0x9C
0.413942800000000,,0xB0,0x0B
0.416249400000000,,0x00,0x01
0.419225800000000,,0x20,0x06
0.422202400000000,,0x06,0x00
0.425178800000000,,0x00,0x0F
0.428155400000000,,0x10,0x22
0.431131800000000,,0x03,0x04
0.434108400000000,,0x80,0x00
0.437085000000000,,0xBE,0x9C
0.473190000000000,,0xB0,0x0B
0.475780600000000,,0x00,0x01
0.478757000000000,,0x20,0x06
0.481733600000000,,0x8E,0x00
0.484710000000000,,0x00,0x0F
0.487686600000000,,0x10,0x22
0.490663200000000,,0x04,0x04
0.493639600000000,,0x80,0x00
0.496616200000000,,0x47,0x9C
0.533097600000000,,0xB0,0x0B
